1,4725,4726,1
1,4725,-18904,0
2,855,857,1
2,855,-3428,0
3,7585,7588,1
3,7585,0,0
4,6570,6574,1
4,6570,26296,0
5,170,175,1
5,170,-350,0
6,237,243,1
6,237,729,0
7,573,580,1
7,573,-1740,0
8,3606,3614,1
8,3606,0,0
9,2524,2533,1
9,2524,-10132,0
10,4411,4421,1
10,4411,-4421,0
11,6638,6649,1
11,6638,13298,0
12,1868,1880,1
12,1868,-3760,0
13,6422,6435,1
13,6422,-25740,0
14,182,196,1
14,182,784,0
15,6428,6443,1
15,6428,25772,0
16,9718,9734,1
16,9718,48670,0
17,7799,7816,1
17,7799,-31264,0
18,4251,4269,1
18,4251,-8538,0
19,5661,5680,1
19,5661,0,0
20,2326,2346,1
20,2326,-7038,0
21,59,80,1
21,59,240,0
22,21,43,1
22,21,172,0
23,7845,7868,1
23,7845,-23604,0
24,5048,5072,1
24,5048,-5072,0
25,75,100,1
25,75,-200,0
26,6147,6173,1
26,6147,30865,0
27,7359,7386,1
27,7359,-7386,0
28,9361,9389,1
28,9361,-28167,0
29,6581,6610,1
29,6581,-13220,0
30,557,587,1
30,557,-1761,0
31,1636,1667,1
31,1636,8335,0
32,4288,4320,1
32,4288,0,0
33,5824,5857,1
33,5824,23428,0
34,5720,5754,1
34,5720,11508,0
35,4324,4359,1
35,4324,8718,0
36,2265,2301,1
36,2265,0,0
37,9367,9404,1
37,9367,-9404,0
38,3098,3136,1
38,3098,-3136,0
39,3309,3348,1
39,3309,-6696,0
40,4579,4619,1
40,4579,0,0
41,2072,2113,1
41,2072,10565,0
42,9937,9979,1
42,9937,-39916,0
43,9674,9717,1
43,9674,48585,0
44,2930,2974,1
44,2930,-11896,0
45,9250,9295,1
45,9250,-37180,0
46,1401,1447,1
46,1401,5788,0
47,2468,2515,1
47,2468,10060,0
48,5005,5053,1
48,5005,15159,0
49,1961,2010,1
49,1961,-8040,0
50,5350,5400,1
50,5350,-16200,0
51,245,296,1
51,245,1184,0
52,3777,3829,1
52,3777,15316,0
53,1123,1176,1
53,1123,-2352,0
54,2288,2342,1
54,2288,-9368,0
55,8007,8062,1
55,8007,40310,0
56,8269,8325,1
56,8269,33300,0
57,3461,3518,1
57,3461,-3518,0
58,6531,6589,1
58,6531,32945,0
59,758,817,1
59,758,4085,0
60,8892,8952,1
60,8892,44760,0
61,4231,4292,1
61,4231,17168,0
62,2480,2542,1
62,2480,7626,0
63,353,416,1
63,353,1248,0
64,9682,9746,1
64,9682,29238,0
65,9437,9502,1
65,9437,38008,0
66,7592,7658,1
66,7592,-30632,0
67,6611,6678,1
67,6611,13356,0
68,1659,1727,1
68,1659,0,0
69,3383,3452,1
69,3383,0,0
70,7017,7087,1
70,7017,28348,0
71,9655,9726,1
71,9655,0,0
72,4395,4467,1
72,4395,-17868,0
73,7402,7475,1
73,7402,-29900,0
74,9162,9236,1
74,9162,27708,0
75,608,683,1
75,608,1366,0
76,7956,8032,1
76,7956,-32128,0
77,1083,1160,1
77,1083,3480,0
78,1808,1886,1
78,1808,-5658,0
79,581,660,1
79,581,2640,0
80,8219,8299,1
80,8219,0,0
81,4245,4326,1
81,4245,8652,0
82,592,674,1
82,592,-2696,0
83,9362,9445,1
83,9362,47225,0
84,5743,5827,1
84,5743,-23308,0
85,1732,1817,1
85,1732,5451,0
86,7935,8021,1
86,7935,24063,0
87,4565,4652,1
87,4565,-13956,0
88,8270,8358,1
88,8270,-25074,0
89,6328,6417,1
89,6328,-19251,0
90,3071,3161,1
90,3071,-12644,0
91,8657,8748,1
91,8657,-17496,0
92,7327,7419,1
92,7327,-22257,0
93,438,531,1
93,438,1593,0
94,5733,5827,1
94,5733,-5827,0
95,9181,9276,1
95,9181,-18552,0
96,8033,8129,1
96,8033,0,0
97,1689,1786,1
97,1689,3572,0
98,2041,2139,1
98,2041,0,0
99,1365,1464,1
99,1365,-5856,0
100,4989,5089,1
100,4989,-20356,0
101,367,468,1
101,367,-936,0
102,1173,1275,1
102,1173,5100,0
103,4442,4545,1
103,4442,-13635,0
104,378,482,1
104,378,0,0
105,6093,6198,1
105,6093,30990,0
106,1766,1872,1
106,1766,-5616,0
107,6443,6550,1
107,6443,-26200,0
108,7794,7902,1
108,7794,0,0
109,238,347,1
109,238,-1388,0
110,6214,6324,1
110,6214,-6324,0
111,8241,8352,1
